OTU	Size	Taxonomy	taxname	phylum
Otu5934	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu5934_Lachnospiraceae_unclassified	Firmicutes
Otu5941	1	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Leuconostoc(100);	Otu5941_Leuconostoc	Firmicutes
Otu5944	1	Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);	Otu5944_Firmicutes_unclassified	Firmicutes
Otu5955	1	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);	Otu5955_Bifidobacterium	Actinobacteria
Otu5960	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);	Otu5960_Roseburia	Firmicutes
Otu5964	1	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_unclassified(100);	Otu5964_Erysipelotrichaceae_unclassified	Firmicutes
Otu5968	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu5968_Ruminococcaceae_unclassified	Firmicutes
Otu5969	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu5969_Lachnospiraceae_unclassified	Firmicutes
Otu5973	1	Bacteria(100);Planctomycetes(100);Planctomycetia(100);Planctomycetales(100);Planctomycetaceae(100);Gemmata(100);	Otu5973_Gemmata	Planctomycetes
Otu5976	1	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);	Otu5976_Actinomyces	Actinobacteria
Otu5978	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);	Otu5978_Ruminococcus2	Firmicutes
Otu5980	0	unknown;	Otu5980_unknown	unknown
Otu5988	1	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);	Otu5988_Streptococcus	Firmicutes
Otu5990	1	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);	Otu5990_Veillonella	Firmicutes
Otu6002	1	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Weissella(100);	Otu6002_Weissella	Firmicutes
Otu6003	1	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);	Otu6003_Lactobacillales_unclassified	Firmicutes
Otu6004	0	unknown;	Otu6004_unknown	unknown
Otu6005	0	unknown;	Otu6005_unknown	unknown
Otu6007	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);	Otu6007_Dorea	Firmicutes
Otu6008	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);	Otu6008_Oscillibacter	Firmicutes
Otu6010	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);	Otu6010_Clostridiales_unclassified	Firmicutes
Otu6012	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Coprococcus(100);	Otu6012_Coprococcus	Firmicutes
Otu6017	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);	Otu6017_Clostridiales_unclassified	Firmicutes
Otu6026	1	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);	Otu6026_Streptococcus	Firmicutes
Otu6029	1	Bacteria(100);SR1(100);SR1_unclassified(100);SR1_unclassified(100);SR1_unclassified(100);SR1_unclassified(100);	Otu6029_SR1_unclassified	SR1
Otu6034	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);	Otu6034_Dorea	Firmicutes
Otu6035	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Parvimonas(100);	Otu6035_Parvimonas	Firmicutes
Otu6058	0	unknown;	Otu6058_unknown	unknown
Otu6065	0	unknown;	Otu6065_unknown	unknown
